Item Title,Publication Title,Book Series Title,Journal Volume,Journal Issue,Item DOI,Authors,Publication Year,URL,Content Type
"Scene text detection and recognition: recent advances and future trends","Frontiers of Computer Science","","10","1","10.1007/s11704-015-4488-0","Yingying Zhu and Cong Yao and Xiang Bai","2016","http://link.springer.com/article/10.1007/s11704-015-4488-0","Article"
"A survey on camera-captured scene text detection and extraction: towards Gurmukhi script","International Journal of Multimedia Information Retrieval","","6","2","10.1007/s13735-016-0116-5","Amandeep KaurRenu DhirGurpreet Singh Lehal","2017","http://link.springer.com/article/10.1007/s13735-016-0116-5","Article"
"Detecting Text in Natural Scenes Based on a Reduction of Photometric Effects: Problem of Text Detection","Computational Color Imaging","","","","10.1007/978-3-642-20404-3_18","Alain TrémeauBasura FernandoSezer KaraogluDamien Muselet","2011","http://link.springer.com/chapter/10.1007/978-3-642-20404-3_18","Chapter"
"Edge color transform: a new operator for natural scene text localization","Multimedia Tools and Applications","","77","6","10.1007/s11042-017-4663-4","Jalil Ghavidel NeycharanAlireza Ahmadyfard","2018","http://link.springer.com/article/10.1007/s11042-017-4663-4","Article"
"A hierarchical recursive method for text detection in natural scene images","Multimedia Tools and Applications","","76","24","10.1007/s11042-016-4099-2","Xiaobing WangYonghong SongYuanlin ZhangJingmin Xin","2017","http://link.springer.com/article/10.1007/s11042-016-4099-2","Article"
"A fast hierarchical method for multi-script and arbitrary oriented scene text extraction","International Journal on Document Analysis and Recognition (IJDAR)","","19","4","10.1007/s10032-016-0274-2","Lluis GomezDimosthenis Karatzas","2016","http://link.springer.com/article/10.1007/s10032-016-0274-2","Article"
"An effective graph-cut scene text localization with embedded text segmentation","Multimedia Tools and Applications","","74","13","10.1007/s11042-013-1848-3","Xiaoqian LiuWeiqiang Wang","2015","http://link.springer.com/article/10.1007/s11042-013-1848-3","Article"
"Fast and accurate scene text understanding with image binarization and off-the-shelf OCR","International Journal on Document Analysis and Recognition (IJDAR)","","18","2","10.1007/s10032-015-0240-4","Sergey MilyaevOlga BarinovaTatiana NovikovaPushmeet KohliVictor Lempitsky","2015","http://link.springer.com/article/10.1007/s10032-015-0240-4","Article"
"Reading Text in the Wild with Convolutional Neural Networks","International Journal of Computer Vision","","116","1","10.1007/s11263-015-0823-z","Max JaderbergKaren SimonyanAndrea VedaldiAndrew Zisserman","2016","http://link.springer.com/article/10.1007/s11263-015-0823-z","Article"
"Robust Text Detection in Natural Scene Images","AI 2016: Advances in Artificial Intelligence","","","","10.1007/978-3-319-50127-7_66","Van Khien PhamGueeSang Lee","2016","http://link.springer.com/chapter/10.1007/978-3-319-50127-7_66","Chapter"
